workdir/satlib/uf50-218/uf50-0244,	1747,	1747,	0m9.727s,	0m9.697s,	0m0.027s,	0m8.253s,	0m8.237s,	0m0.013s,	208,	205
workdir/satlib/uf50-218/uf50-0245,	108,	108,	0m18.468s,	0m18.420s,	0m0.043s,	0m19.823s,	0m19.780s,	0m0.033s,	209,	204
workdir/satlib/uf50-218/uf50-0246,	304,	304,	0m9.537s,	0m9.483s,	0m0.043s,	0m5.469s,	0m5.440s,	0m0.027s,	198,	207
workdir/satlib/uf50-218/uf50-0247,	89,	89,	0m9.971s,	0m9.937s,	0m0.033s,	0m9.570s,	0m9.533s,	0m0.030s,	201,	209
workdir/satlib/uf50-218/uf50-0248,	2,	2,	0m14.054s,	0m14.010s,	0m0.040s,	0m10.873s,	0m10.847s,	0m0.017s,	200,	201
workdir/satlib/uf50-218/uf50-0249,	11,	11,	0m4.200s,	0m4.173s,	0m0.020s,	0m7.040s,	0m7.017s,	0m0.020s,	203,	202
workdir/satlib/uf50-218/uf50-024,	18,	18,	0m7.436s,	0m7.410s,	0m0.023s,	0m2.265s,	0m2.253s,	0m0.010s,	211,	202
workdir/satlib/uf50-218/uf50-0250,	1952,	1952,	0m13.609s,	0m13.543s,	0m0.053s,	0m14.349s,	0m14.307s,	0m0.037s,	206,	207
workdir/satlib/uf50-218/uf50-0251,	3722,	3722,	0m3.663s,	0m3.653s,	0m0.007s,	0m6.517s,	0m6.493s,	0m0.017s,	210,	203
workdir/satlib/uf50-218/uf50-0252,	1658,	1658,	0m8.588s,	0m8.557s,	0m0.030s,	0m16.119s,	0m16.060s,	0m0.047s,	207,	205
workdir/satlib/uf50-218/uf50-0253,	17,	17,	0m12.781s,	0m12.727s,	0m0.037s,	0m14.381s,	0m14.313s,	0m0.067s,	205,	208
